Date;Name;Type;Quantity;Price;Price Currency;Fees;Fees Currency;Shares;Amount;Amount Currency;Asset Class;Matched
12.04.18;BYD Co Ltd;Long buy;155.00;Jun.46;EUR;10.00;EUR;;;;Equities;x
17.04.18;Global X Next Emerging & Frontier ETF;Long buy;150.00;24.85;USD;--;USD;;;;ETFs;x
17.04.18;BlueStar Israel Technology ETF;Long buy;112.00;33.66;USD;--;USD;;;;ETFs;x
23.04.18;iShares MSCI All Peru ETF;Long buy;82.00;44.63;USD;--;USD;;;;ETFs;x
23.04.18;Canopy Growth Corp;Long sell;113.00;19.21;EUR;10.00;EUR;;;;Equities;x
11.05.18;Apple Inc;Dividend;;;;--;;10.00;0.73;USD;Equities;x
11.05.18;CannaRoyalty Corp;Long buy;276.00;Mar.20;EUR;--;EUR;;;;Equities;x
18.05.18;CannaRoyalty Corp;Long buy;1,150.00;Mar.53;EUR;--;EUR;;;;Equities;x
03.06.18;Global X Lithium & Battery Tech ETF;Long sell;150.00;24.36;USD;--;USD;;;;ETFs;x
05.06.18;iShares MSCI Spain Capped ETF;Long buy;105.00;31.59;USD;--;USD;;;;ETFs;x
05.06.18;BlueStar Israel Technology ETF;Long buy;102.00;25.79;USD;--;USD;;;;ETFs;x
08.06.18;Geely Automobile Holdings Ltd;Dividend;;;;--;;260.00;0.0314;EUR;Equities;x
19.06.18;iShares MSCI Spain Capped ETF;Dividend;;;;--;;105.00;0.4695;USD;ETFs;x
19.06.18;iShares MSCI All Peru ETF;Dividend;;;;--;;82.00;0.3845;USD;ETFs;x
20.06.18;ComStage SDAXŒ¬ UCITS ETF;Long sell;41.00;114.70;EUR;--;EUR;;;;ETFs;
22.06.18;BYD Co Ltd;Dividend;;;;--;;155.00;0.0187;EUR;Equities;x
23.06.18;Heliospectra AB (publ);Long buy;1,200.00;0.828;EUR;--;EUR;;;;Equities;x
17.07.18;Xtrackers MSCI Indonesia Swap UCITS ETF 1C;Long sell;227.00;Nov.55;EUR;--;EUR;;;;ETFs;
24.07.18;iShares MDAXŒ¬ UCITS ETF (DE);Long sell;25.00;229.35;EUR;--;EUR;;;;ETFs;
