Date,Name,Type,Quantity,Price,Price Currency,Fees,Fees Currency,Shares,Amount,Amount Currency,Asset Class
2018-04-17,Global X Next Emerging & Frontier ETF,Long buy,150.00,24.85,USD,--,USD,,,,ETFs
2018-04-17,BlueStar Israel Technology ETF,Long buy,112.00,33.66,USD,--,USD,,,,ETFs
2018-04-23,iShares MSCI All Peru ETF,Long buy,82.00,44.63,USD,--,USD,,,,ETFs
2018-04-23,Canopy Growth Corp,Long sell,113.00,19.21,EUR,10.00,EUR,,,,Equities
2018-05-11,Apple Inc,Dividend,,,,--,,10.00,0.73,USD,Equities
2018-05-11,CannaRoyalty Corp,Long buy,276.00,3.20,EUR,--,EUR,,,,Equities
2018-05-18,CannaRoyalty Corp,Long buy,"1,150.00",3.53,EUR,--,EUR,,,,Equities
2018-06-03,Global X Lithium & Battery Tech ETF,Long sell,150.00,24.36,USD,--,USD,,,,ETFs
2018-06-05,iShares MSCI Spain Capped ETF,Long buy,105.00,31.59,USD,--,USD,,,,ETFs
2018-06-05,BlueStar Israel Technology ETF,Long buy,102.00,25.79,USD,--,USD,,,,ETFs
2018-06-08,Geely Automobile Holdings Ltd,Dividend,,,,--,,260.00,0.0314,EUR,Equities
2018-06-19,iShares MSCI Spain Capped ETF,Dividend,,,,--,,105.00,0.4695,USD,ETFs
2018-06-19,iShares MSCI All Peru ETF,Dividend,,,,--,,82.00,0.3845,USD,ETFs
2018-06-20,ComStage SDAX® UCITS ETF,Long sell,41.00,114.70,EUR,--,EUR,,,,ETFs
2018-06-22,BYD Co Ltd,Dividend,,,,--,,155.00,0.0187,EUR,Equities
2018-06-23,Heliospectra AB (publ),Long buy,"1,200.00",0.828,EUR,--,EUR,,,,Equities
2018-07-17,Xtrackers MSCI Indonesia Swap UCITS ETF 1C,Long sell,227.00,11.55,EUR,--,EUR,,,,ETFs
2018-07-24,iShares MDAX® UCITS ETF (DE),Long sell,25.00,229.35,EUR,--,EUR,,,,ETFs
2018-07-26,iShares MSCI France ETF,Long buy,165.00,31.44,USD,--,USD,,,,ETFs
2018-07-27,Amundi Index Solutions - Amundi CAC 40 UCITS ETF-C,Long sell,55.00,77.55,EUR,--,EUR,,,,ETFs
2018-07-30,L&G ROBO Global Robotics and Automation UCITS ETF,Long sell,205.00,13.85,EUR,--,EUR,,,,ETFs
2018-08-10,Apple Inc,Dividend,,,,--,,10.00,0.73,USD,Equities
2018-08-24,Amphenol Corp,Long buy,13.00,81.57,EUR,--,EUR,,,,Equities
2018-08-24,Alibaba Group Holding Ltd,Long buy,7.00,178.76,USD,--,USD,,,,Equities
2018-08-28,Tencent Holdings Ltd,Long buy,38.00,39.67,EUR,--,EUR,,,,Equities
2018-08-28,JD.com Inc,Long buy,37.00,28.40,EUR,--,EUR,,,,Equities
2018-08-31,GW Pharmaceuticals PLC,Long buy,19.00,121.74,EUR,--,EUR,,,,Equities
2018-08-31,Aurora Cannabis Inc,Long buy,173.00,5.82,EUR,--,EUR,,,,Equities
2018-09-03,iAnthus Capital Holdings Inc,Long buy,410.00,4.90,EUR,--,EUR,,,,Equities
2018-09-05,Global X Next Emerging & Frontier ETF,Long sell,150.00,20.16,USD,--,USD,,,,ETFs
2018-09-05,CannTrust Holdings Inc,Long buy,270.00,7.29,EUR,--,EUR,,,,Equities
2018-09-06,iShares MSCI All Peru ETF,Long sell,82.00,35.51,USD,--,USD,,,,ETFs
2018-09-06,iShares MSCI Japan EUR Hedged UCITS ETF (Acc),Long sell,40.00,48.84,EUR,--,EUR,,,,ETFs
2018-09-06,Global X MSCI Argentina ETF,Long sell,115.00,21.14,USD,--,USD,,,,ETFs
2018-09-07,iAnthus Capital Holdings Inc,Long buy,400.00,5.15,EUR,--,EUR,,,,Equities
2018-09-10,Newstrike Brands Ltd,Long sell,"1,629.00",0.444,CAD,--,CAD,,,,Equities
2018-09-11,Namaste Technologies Inc,Long buy,750.00,2.47,USD,--,USD,,,,Equities
2018-09-13,iShares MSCI Korea UCITS ETF USD (Dist),Dividend,,,,--,,48.00,0.0489,EUR,ETFs
2018-09-14,Amphenol Corp,Dividend,,,,--,,13.00,0.1978,EUR,Equities
2018-09-14,iAnthus Capital Holdings Inc,Long buy,320.00,4.68,EUR,--,EUR,,,,Equities
2018-09-18,Namaste Technologies Inc,Long buy,700.00,2.36,USD,--,USD,,,,Equities
2018-09-20,Alcanna Inc,Long buy,400.00,9.50,CAD,--,CAD,,,,Equities
2018-09-27,Alcanna Inc,Dividend,,,,--,,400.00,0.09,CAD,Equities
2018-10-01,Namaste Technologies Inc,Long buy,340.00,2.04,USD,--,USD,,,,Equities
2018-10-18,Shopify Inc,Long buy,17.00,119.39,EUR,--,EUR,,,,Equities
2018-11-05,Global X Lithium & Battery Tech ETF,Long sell,62.00,31.37,USD,--,USD,,,,ETFs
2018-11-06,KushCo Holdings Inc,Long buy,240.00,6.24,USD,--,USD,,,,Equities
2018-11-08,Apple Inc,Dividend,,,,--,,10.00,0.73,USD,Equities
2018-11-21,Medmen Enterprises Inc,Long buy,230.00,3.19,EUR,--,EUR,,,,Equities
2018-12-14,Amphenol Corp,Dividend,,,,--,,13.00,0.2034,EUR,Equities
2018-12-18,iShares MSCI Spain Capped ETF,Dividend,,,,--,,105.00,0.5196,USD,ETFs
2018-12-18,iShares MSCI France ETF,Dividend,,,,--,,165.00,0.1226,USD,ETFs
2018-12-24,BlueStar Israel Technology ETF,Dividend,,,,--,,214.00,0.0919,USD,ETFs
2018-12-28,Global X Robotics & Artificial Intelligence ETF,Dividend,,,,--,,150.00,0.2415,USD,ETFs
2019-01-09,Aurora Cannabis Inc,Long buy,350.00,4.42,EUR,--,EUR,,,,Equities
