Dates;OH CN Equity;IAN CN Equity;CNTTF US Equity;N CN Equity;HIP CN Equity;TLRY Corp;HUGE CN Equity;CRON US Equity;APH CN Equity;WEED CN Equity;ACB CN Equity;GWPRF US Equity;SHOP US Equity;SPVNF US Equity;MN CN Equity;LEAF CN Equity;PAOTF US Equity;LULU US Equity;CBIS US Equity;HMMJ CN Equity;GRNH US Equity;MF6 GY Equity;HELIO SS Equity;BYDDF US Equity;GELYF US Equity;BABA UN Equity;TCTZF US Equity;APH US Equity;JD US Equity;9984 JT Equity;ATVI US Equity;EA US Equity;BJK US Equity;APTV US Equity;TEL US Equity;Global X-Nasda;BWA US Equity
02.01.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.01.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.01.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.01.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.01.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.01.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.01.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.01.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.01.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.01.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.01.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.01.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.01.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.01.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.01.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.01.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.01.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
